AQI,CO,PM10,PM25
109.5000053,407.9,72.5,58
114.8259732,362.6,81.3,65
117.0781828,317.3,80,64
115.2178564,272,70,56
115.1493558,231.5,73.8,59
118.1778661,191,82.5,66
103.0409394,150.6,47.5,38
86.84812028,145.5,43.8,35
77.28405218,140.5,42.5,34
69.3006105,135.4,38.8,31
75.64835165,154.8,51.3,41
90.82490842,174.3,66.3,53
102.8437118,193.8,72.5,58
97.7015873,188.9,57.5,46
97.84713065,184,61.3,49
113.2718763,179.2,83.8,67
133.3072853,183.6,102.5,82
149.1583232,188.1,111.3,89
152.3239142,192.6,108.8,87
151.1658817,198.8,100,80
149.7024827,205,97.5,78
143.1929182,211.3,90,72
128.0701998,244.3,71.3,57
116.1183873,277.4,65,52
113.9672632,310.5,71.3,57
112.7357802,292,70,56
110.704857,273.5,67.5,54
105.7327356,255,62.5,50
95.75335775,220.2,53.8,43
86.86446886,185.4,48.8,39
82.42051282,150.6,48.8,39
80.2002442,138.9,48.8,39
76.08986569,127.2,45,36
73.94937484,115.6,42.5,34
73.12833152,131.7,45,36
71.8381314,147.8,43.8,35
74.30446735,164,48.8,39
82.34663607,148.8,60,48
104.085163,133.6,80,64
120.2649573,118.5,88.8,71
135.1400081,118.3,100,80
152.534973,118.1,120,96
158.4156637,117.9,125,100
157.7837084,121.6,112.5,90
156.039072,125.3,107.5,86
153.738008,129,102.5,82
139.3663004,136.6,77.5,62
117.1855922,144.1,58.8,47
111.0956451,151.7,66.3,53
113.0500611,149.6,73.8,59
101.5209605,147.5,55,44
96.90647131,145.3,57.5,46
96.44542125,134.4,60,48
95.21074481,123.5,58.8,47
99.59365079,112.6,65,52
86.78388278,111.5,46.3,37
80.37997558,110.3,46.3,37
70.17728938,109.1,37.5,30
57.07887668,114.2,27.5,22
57.53504274,119.2,36.3,29
57.76166056,124.3,36.3,29
62.87472527,126.1,42.5,34
65.43492063,127.8,42.5,34
73.71623932,129.6,51.3,41
86.85860806,141.6,62.5,50
92.42979243,153.7,61.3,49
109.3483923,165.7,81.3,65
102.1762312,170,58.8,47
100.2572243,174.3,61.3,49
111.8021978,178.6,80,64
120.9104599,201.9,85,68
143.8009768,225.3,112.5,90
146.0773301,248.6,98.8,79
154.1646607,267.1,117.5,94
143.1986162,285.6,82.5,66
134.1041921,304.1,81.3,65
126.2210012,277.8,76.3,61
125.6137566,251.5,81.3,65
123.6398046,225.3,78.8,63
130.8177174,194.1,91.3,73
128.0017579,163,80,64
132.2467229,131.9,92.5,74
128.5160397,131.7,78.8,63
124.846093,131.5,76.3,61
107.3129833,131.3,56.3,45
91.37387057,128.8,46.3,37
83.68009768,126.3,47.5,38
82.83418803,123.7,51.3,41
79.41147741,136.6,47.5,38
80.6998779,149.4,51.3,41
85.34554335,162.2,56.3,45
83.66495726,173.5,51.3,41
81.82661783,184.8,50,40
79.58448,196.1,47.5,38
78.22442309,186.8,47.5,38
88.98129797,177.4,68.8,55
101.5065038,168.1,75,60
103.653502,164.8,68.8,55
100.5035531,161.5,58.8,47
97.46470164,158.2,57.5,46
97.6947138,154.3,61.3,49
91.9399854,150.4,51.3,41
90.49225717,146.5,55,44
98.4244333,144.5,70,56
102.8760098,142.6,70,56
112.5846138,140.6,81.3,65
117.2666762,143.2,82.5,66
109.4489983,145.7,60,48
104.5821021,148.2,60,48
100.3023769,151.5,57.5,46
96.43250864,154.8,56.3,45
93.99344195,158.2,56.3,45
93.99090527,175.5,58.8,47
101.5562677,192.8,72.5,58
108.5238094,210.1,80,64
115.2489485,220.6,83.8,67
123.3719575,231.1,88.8,71
127.6455662,241.6,88.8,71
133.0504066,255.2,92.5,74
127.9595017,268.8,77.5,62
141.3479969,282.5,105,84
147.7024327,287.5,103.8,83
136.3964272,292.6,80,64
127.0964479,297.6,73.8,59
112.9587268,302.1,58.8,47
110.9192756,306.6,68.8,55
116.3873725,311.1,80,64
112.831458,297.8,68.8,55
119.6568976,284.6,83.8,67
117.5973431,271.4,73.8,59
115.7080789,262.8,72.5,58
103.3935122,254.3,55,44
96.61148442,245.7,55,44
92.63731685,225.9,51.3,41
102.7059061,206,75,60
119.5374449,186.2,92.5,74
124.9601166,196.7,86.3,69
127.2157243,207.2,85,68
121.7650592,217.7,73.8,59
124.7016241,243.4,83.8,67
126.3211701,269,83.8,67
145.8428978,294.7,129,89
140.4240944,325.5,88.8,71
137.7175417,356.2,88.8,71
152.7296354,386.9,118.8,95
162.9951292,388.5,142.5,114
163.6228722,390,125,100
161.1880638,391.6,115,92
159.9285801,366.7,115,92
158.2426529,341.8,111.3,89
154.3913971,316.9,97.5,78
147.7776756,297.1,85,68
124.4643875,277.2,66.3,53
114.7248677,257.4,66.3,53
109.025234,276.2,65,52
102.007733,295.1,58.8,47
81.18876679,314,37.5,30
77.57557998,304.3,46.3,37
79.77338217,294.5,51.3,41
83.87496947,284.8,55,44
89.92673993,291.4,60,48
91.95311355,298,58.8,47
96.96996337,304.6,63.8,51
107.9027269,296.7,76.3,61
111.4525845,288.7,73.8,59
112.3939764,280.7,72.5,58
133.7032967,301.5,103.8,83
134.3565324,322.3,88.8,71
155.2257108,343.2,130,104
152.6166056,300.9,100,80
152.7406245,258.7,105,84
135.7004477,216.5,73.8,59
101.1798942,192.6,37.5,30
85.70500611,168.7,43.8,35
75.84810745,144.7,41.3,33
57.91404151,139.7,25,20
55.94920635,134.6,33.8,27
59.96825397,129.6,48,32
56.97045177,151.7,33.8,27
63.47643468,173.9,43.8,35
70.72234432,196.1,48.8,39
83.35335775,201.7,60,48
93.66886447,207.4,65,52
110.6967847,213,82.5,66
112.020757,201.5,72.5,58
110.1811152,190.1,68.8,55
114.2629223,178.6,76.3,61
102.1363451,188.1,55,44
94.28571429,197.6,53.8,43
98.14749695,207.2,63.8,51
90.68201618,214.2,51.3,41
97.76480191,221.2,66.3,53
107.7577607,228.2,80,64
111.7908554,228,76.3,61
104.7868178,227.8,57.5,46
100.0442939,227.6,56.3,45
94.95104073,212.4,53.8,43
85.23339752,197.3,46.3,37
83.00082363,182.1,50,40
74.08582739,169.2,41.3,33
66.84884005,156.4,37.5,30
64.41953602,143.6,38.8,31
51.2043956,150.4,23.8,19
56.5968254,157.2,38.8,31
59.29035409,164,38.8,31
52.63589744,173.5,28.8,23
52.31306471,183.1,32.5,26
59.15360195,192.6,41.3,33
53.57216117,181.9,30,24
53.78363858,171.2,33.8,27
56.52705339,160.5,37.5,30
55.44820545,163,33.8,27
52.28159602,165.5,30,24
51.3068815,168.1,31.3,25
56.43491436,173.7,41.3,33
69.69674705,179.4,52.5,42
70.7419876,185,45,36
71.01319695,186.9,45,36
72.30469777,188.9,46.3,37
73.8935998,190.8,47.5,38
67.94544118,180.9,37.5,30
63.68518968,171,36.3,29
66.39673804,161.1,43.8,35
61.08385031,151.2,33.8,27
52.61773667,141.2,27.5,22
52.32398287,131.3,32.5,26
48.35570984,149.8,27.5,22
47.87165052,168.3,28.8,23
47.06804199,186.8,28.8,23
52.50590226,188.1,37.5,30
53.96633928,189.5,35,28
58.18324555,190.8,41.3,33
76.15873016,185.4,57.5,46
84.08351648,179.9,57.5,46
84.04346764,174.5,52.5,42
81.02466422,184.4,48.8,39
76.51575092,194.3,45,36
71.25958486,204.3,41.3,33
65.63174603,207.4,37.5,30
66.81855922,210.5,42.5,34
76.56746049,213.6,56.3,45
92.48389421,210.9,67.5,54
100.9957537,208.2,70,56
